CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
46,5201263082634,BABYLINO SENS ECO.N5+ 12 17KG 42T,9.99,0.24,7637767.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263826108,BABYLINO SENS ECO NΟ6 13 18KG 38T,9.49,0.25,7637774.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263826405,BABYLINO SENS ECO NΟ7 15+KG 36T,9.49,0.26,7637831.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263890253,BABYLINO PANTS ECO N4 7/13KG 38T,8.85,0.23,7706251.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263890260,BABYLINO PANTS ECO N5 10/16KG 34T,8.85,0.26,7706298.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263890277,BABYLINO PANTS ECO N6 13/18KG 31T,8.85,0.29,7706299.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263890284,BABYLINO PANTS ECO N7 15/25KG 28T,8.85,0.32,7706300.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
47,5201410964103,SEPTONA ΜΩΡ/ΛΑ ΧΑΜΟΜΗΛΙ 80T(2+1),2.75,0.01,7608635.jpg,0,Μωρομάντηλα,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
47,5202336119943,CARE BABY WIPES SENSITIVE 3X72TEM,2.42,0.01,7504927.jpg,1,Μωρομάντηλα,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
47,5202336119967,CARE BABY WIPES ΧΑΜΟΜΗΛΙ 3X72TEM,2.42,0.01,7504941.jpg,1,Μωρομάντηλα,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
48,5201410220056,SEPTONA ΣΑΜΠ&ΑΦΡ/ΤΡΟ ΑΛΟΗ 500ML,2.67,5.34,7149350.jpg,0,Σαμπουάν για Μωρά,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
49,5202336037117,FAMILY FRIENDS ΣΚΥΛ.ΒΟΔ/ΚΟΤ.1230GR,1.65,1.34,7067551.jpg,1,Τροφή για Σκύλους,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
49,5202336037124,FAMILY FRIENDS ΣΚΥΛ.ΑΡΝ/ΚΟΤ.1230GR,1.65,1.34,7067552.jpg,1,Τροφή για Σκύλους,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
50,8590421066485,LOVEPET Υ.Τ. ΓΑΤΑΣ ΒΟΔ.ΦΑΚ.100G,0.39,3.90,7664228.jpg,1,Τροφή για γάτες,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
51,5203064007373,ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ Γ.Ο.Χ. 1ΚG 0.30ΦΘΗΝΟΤΕΡΟ,1.36,1.36,7143353.jpg,0,Αλεύρι,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
52,26322254,ΝΙΤΣΙΑΚΟΣ ΒΟΕΙΟ ΕΛ. ΕΚΤ/ΦΗΣ ΛΑΠΑ-ΣΤΗΘΟΣ,9.90,9.90,default_kalathi.png,1,Μοσχάρι,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
52,GR9375,ΒΟΕΙΟ ΣΤΗΘΟΣ ΚΑΙ ΛΑΠΑ Α/Ο ΕΛΛ,9.90,9.90,default_kalathi.png,1,Μοσχάρι,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
53,29664306,ΠΑΡΙΖΑ TOSTAKI,3.70,3.70,7141249.jpg,0,Πάριζα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
53,5202336097951,ΑΒ ΠΑΡΙΖΑΚΙ 330ΓΡ,1.14,3.45,default_kalathi.png,1,Πάριζα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
54,GRHC3160122,ROYAL ΓΑΛΑ UHT 3.5% 1 LT,1.05,1.05,7344273.jpg,0,Γάλα υψηλής παστερίωσης πλήρες,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
55,5206546001272,ROYAL ΓΑΛΑ UHT 1.5% 1L,0.95,0.95,7702842.jpg,0,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
56,29985760,ΛΕΥΚΟ ΤΡΙΚΑΛΩΝ ΔΟΧΕΙΟ,6.95,6.95,default_kalathi.png,1,Λευκό τυρί,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
56,5203197138227,ΛΕΥΚΟ ΤΥΡΙ ΒΕΡΓΙΝΑ ΤΑΠΕΡ 400ΓΡ,3.24,8.10,7558015.jpg,0,Λευκό τυρί,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
57,5201399011201,3ΑΛΦΑ ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500GR ΕΙΣΑΓΩΓ.,2.07,4.14,7085608.jpg,0,Φασόλια,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
57,5202336137732,ΑΒ ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500GR ΕΙΣΑΓ.,0.98,1.96,7225878.jpg,1,Φασόλια,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
58,5201399010334,3ΑΛΦΑ ΡΕΒΥΘΙΑ ΑΠΟΦΛ. 500GR ΕΙΣ.,2.89,5.78,7085634.jpg,0,Ρεβύθια,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
58,5202336137718,ΑΒ ΡΕΒΥΘΙΑ ΧΟΝΤΡΑ 500GR ΕΙΣΑΓ.,1.40,2.80,7225834.jpg,1,Ρεβύθια,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
1,5201502110043,AGRINO 500G ΡΥΖΙ ΛΑΙΣ ΚΑΡΟΛΙΝΑ,1.89,3.78,5201502110043.jpg,0,Ρύζι,Kg,,Bazaar,24-07-2024,30-07-2024,,
1,5208086439218,ΕΛΛΗΝΙΚΗ ΣΠΟΡΑ 500G ΡΥΖΙ τ.ΑΜΕΡΙΚΗΣ,0.95,1.9,5208086439218.jpg,1,Ρύζι,Kg,,Bazaar,24-07-2024,30-07-2024,,
